num_hash,search_dt,status_verify_yn,device_none_network_count_1m,device_wifi_network_count_1m,device_mobile_network_count_1m,device_none_network_count_6m,device_wifi_network_count_6m,device_mobile_network_count_6m
a8838de535dd70bbb884b1a3c8acf019721003dc097394658a21354aa857a7f5,2022-05-01,True,,,,,,
1474e5653d22d1f1fbcb6b90c9387754c5b5b1a1c5daa1dd2215ddb6512146fa,2022-05-01,True,,,,,,
086c09fca8cf4e647ac7f894d503115e2bc03df615e9677e7b9c99623e8496fd,2022-05-01,True,,,,,157.0,7.0
4497036e4022cfff4ce2fa9d6c003d4aac0c88b51e537cf0914bb5e796653952,2022-05-01,True,,,,,,
245b047c44455726859df06c2ca0718076c873c964b6d0e83aa3d959736941ec,2022-05-01,True,,,,,,
657b653730e1cd179fc363731f0f7cd466d41372a733cfb1733967ee6704107a,2022-05-01,True,,,,,,
d3fcf0c29f4b064d4f262b4d1f884d1969c4c5680270f75505c10ea4bec73884,2022-05-01,True,,,,,,
5ca715f401fc05c8527ea842f3a067b5c29f56e100f600e1206656d508b8c152,2022-05-01,True,,57.0,15.0,,147.0,17.0
fb1bed823f3a147cd2539786bc2438782e5b77b5057226196e4d90d7203724dd,2022-05-01,True,,,,,,
8fbaa82bfcf35afd2e6174302ba51bc3620722cc6371a34dd9cf485433839cc1,2022-05-01,True,,,,,,
bc78a6014d01a010952270e7fce605162d70bea2146b3fccd0a7724e9f1b2353,2022-05-01,True,,,,,,
fa3b27c161556b681511506f6f9d4951868dae33e5da96232ae926f261bcfb14,2022-05-01,True,,65.0,,,365.0,
0cf60057b4ae5baf8f59c13430edad7edeb156d82ee142979dca4d430daf02bb,2022-05-01,True,,,,,,
44bf7962fc22208bd44e331e40c61cf75a0a259ba126efa6069a955e3bb4106a,2022-05-01,True,,55.0,13.0,,275.0,17.0
d82153fc259f34320625903258d0bacf624123fbf64a39033740d781336d1926,2022-05-01,True,,,,,,
769d1ce643d216cc04ac51e4bfe05dd49a210887848e3bcbd9b1345fdf5a8c80,2022-05-01,True,7.0,61.0,9.0,7.0,181.0,19.0
94726dd38a7b9d2fa758459fb759ad9711c9310d1b62f311e5c0f4680cb7eac0,2022-05-01,True,,,,7.0,69.0,7.0
17bbbb8f597c91771c63eac7ef96b0e8d3639c700378b1fcc9b476a2e4e84bdd,2022-05-01,True,,,,,,
5a234a2ef6e5f2593d9bf64098a8a69aefcb8ee8a87302544b1ecd8be8a5b7d5,2022-05-01,True,,,,,11.0,
eba26861a19eb376808779f38d1c911cf85b6087b2caf9f2f2d107f33793d1da,2022-05-01,True,,,,,,
d6b625f2b63c53c81ce3ae046fa2ef6dbf4b517756d844ded595367f6431cfbf,2022-05-01,True,,,,,,
8e3ea0c66e64191b1cd43569c307f5e1642376f98c9cf07718df924ae5c67a7d,2022-05-01,True,,,,,,
f95129072a4c3fb1d1d8bfd8a3ba8cc6086b16d0aa09ddf0739bcff425153657,2022-05-01,True,,,,,,
75f6e25418f8768dfd54ccb61eeec9d858f167974ac06021e718941181467aeb,2022-05-01,True,,65.0,19.0,,209.0,99.0
8836c75dd3b1242a322ef6773dcff7258c55fb8ea77acf7feb9eab32bff33c90,2022-05-01,True,,,,,,
8a53cba1fc630e1f54f989820a72be8fe96523ce1d23af24ca269ffad448b000,2022-05-01,True,,,,,,
f5b49c692fa8d013b1e3dd1119d7c73c277e8bcc79156d72a9f728a648c9de81,2022-05-01,True,,51.0,13.0,15.0,281.0,113.0
828941386ba2a8acde2c01c522a713a10bed8b62e644b48711e12ba1685399e8,2022-05-01,True,,53.0,39.0,,209.0,273.0
35c36238670647cb6a0af7b8d7b2f14d8d23c0ce63c21ddc27ba4ccc09959a44,2022-05-01,True,,,,,,
aba73d382aef721a1fd67113edeb416b765983d36937a09f0e16cdcfad28983b,2022-05-01,True,,,,,,
37c3617558bc2c6d8311b8e92cee9569463fc0b9cf095c36ddaa429e3568240e,2022-05-01,True,7.0,59.0,63.0,7.0,247.0,263.0
d7f794f65474c284b5ed0a1aa2239c47810bb28869ad0d0ee54fef981d9526c9,2022-05-01,True,,,,,,
b46196e19b5a77d17a35e2d6a0414ce5f14b4b434de70601404698d05a80d85b,2022-05-01,True,,29.0,37.0,,269.0,95.0
91139d7e5c0955c5ccb5c7c5e21f72a81c8ee5b477ec1c331f0f6243f46a85e3,2022-05-01,True,,,,,,
2a1960c1d62f2b227e5cc35daa8155769d5aa1e7cd0b12192ebc1799902d8e0a,2022-05-01,True,7.0,41.0,31.0,7.0,177.0,209.0
2bc426cfcdc25f148d84cf55b325b2db2226ac9b2009fafd9dc061fc15bd0a23,2022-05-01,True,,,,,,
fb477f325c09112f8b489843878014a78ffa4c875810f9b32cb229d719953e63,2022-05-01,True,,23.0,35.0,,131.0,93.0
3ecfc80780b4626684949be34c7bd42a0c915d4116fcab33de3b9ef1afd7c121,2022-05-01,True,,,,,,
a09c4d5a731b0b744343f4f9ab041af8e3a9aa583cdfcb299119312b2863aa67,2022-05-01,True,,,,,,
888c948c000e91a8b02a4a1653ee8629a6fa7c1fa396363504847a07dde0ada6,2022-05-01,True,,41.0,43.0,7.0,227.0,231.0
fecb129ee82a435e08b2b29f4042e2b504b050a216e50448065b09b0877b32a1,2022-05-01,True,,63.0,7.0,,119.0,273.0
6c7afc4aafc485483875d9d074553a49a765e8afe68759759e53af64acb82e65,2022-05-01,True,,53.0,47.0,,225.0,251.0
4e92a46945d94ae5e936b73f4e71b4ea792ffdf50ce2b67fe3bdbbd23fa8c50e,2022-05-01,True,37.0,17.0,63.0,231.0,117.0,361.0
a3f750e1d035ae54286e34688ca1022104136c215eda590e347041c22c24769b,2022-05-01,True,,,,,,
bbe5508994384ef5cb9779b6c497cde87a8eedf6c56e901bb0690fe87f0c7296,2022-05-01,True,,,,,,
c49a1137f12b5f8d0741db7776c5b8ca01fa50f4a736cf0c6d7d8a88120f924f,2022-05-01,True,,65.0,,,365.0,
0d0a4de916fe931e0e2a7b613e4cb3de71cc9beb3de580fddf831799623f1791,2022-05-01,True,,,,,,
3418ee6707975cd7083b7683dabfe55f1b242a4c6e127a025af1cd8597ce3353,2022-05-01,True,7.0,45.0,55.0,7.0,149.0,247.0
aa2b6762446f4e14fdc5b841c02ba0e0854480f4377639565a7bf2ac85be5889,2022-05-01,True,,65.0,63.0,7.0,353.0,329.0
45b359c2f83a8615fea8673662d856e976cf9feff58afebda6b72c70e5c3ca52,2022-05-01,True,,,,,,
b3d6b15059cb670efe85adf747951662d6641070b48a1a7c0d255b4e476b0e73,2022-05-01,True,,53.0,41.0,7.0,135.0,85.0
5ca97108580d023f1f38b05a6de24836f9ea75620ca27fa744e9ff606b8ac41c,2022-05-01,True,,,,,,
934af1565ca9d72027b09ee6be290efc13a6ee6db54e44fbd07112b45a4552e0,2022-05-01,True,,65.0,,,365.0,
3a65c132815c9fc6c77f15cd0e031b989d840633eb0cd0a1787e777f5f9c955e,2022-05-01,True,,65.0,11.0,,359.0,19.0
df9a1cb8ef13d55ef266f23ef539edba0146a7fe94586ad11ac39fbb69f8c010,2022-05-01,True,,,,,,
2a2c2c4e7c7c681acaf941d04aba8f1b2cb0dddaccfffd2d465cbc83a230a42e,2022-05-01,True,,,,,,
998c792b94d9f140a318d5b57e596990bb497099a1c428c34a964b95e97e1bd6,2022-05-01,True,7.0,55.0,57.0,13.0,339.0,151.0
9ae36e15d0c11ee3ddf08f3c05e1ebcf06c40796de7770ae82a28fb1d5bba19c,2022-05-01,True,,,,,,
2f7468c8022ab4d2eb0cdb007ceef3d9956273413fdf3720eba2590d88cb3559,2022-05-01,True,,45.0,45.0,,189.0,305.0
49f9ae2ab2a7d48f99ba35b86669feb7ae58236f44f1f11272a7cb0b24db4bdd,2022-05-01,True,,,,,,
eed22f9c274eafdd431d64c700f1877b63fe1bc5d2903f321c1650be3200e8ed,2022-05-01,True,,35.0,31.0,,39.0,39.0
f35b160163111743d88d23c814b52fdb28f5e1ecbad865f1a55da662260e35be,2022-05-01,True,,,,,45.0,
d2a3f3ea88aec152c0d3364648c1734b98a016b2fbc262b34d3f4af9784e649f,2022-05-01,True,,,,,,
5c3df985542c8681368c0e5dfe67a20b2e9f2ce194539f2d1c80568aa4a590d5,2022-05-01,True,31.0,65.0,59.0,83.0,317.0,137.0
26b8dd026c0a9894f7f7facbbb088d693d5a9ce0a14af99b5ea0cc39580e214e,2022-05-01,True,,63.0,55.0,,361.0,263.0
29cd546878fde26d010c2944f65ffdc1dfc83bc813a58a771b53583cecc394f5,2022-05-01,True,,,,,,
c91e06884df3be72b3899c08c2a2754d18f6fe42eb361116c69a94f6bc2fbc52,2022-05-01,True,,,,,,15.0
21cfad2163c3cfd656d0c9a07ff970799745595e9ccb08286cb53f5bbc6497fd,2022-05-01,True,,,,,,
dec267913fc9a3b17a657eb6835763879a9c82589b7795202649781574288242,2022-05-01,True,,13.0,,,23.0,
3fd9ab3d5b50428a52626bb9b2611c260e7a8f8ecc61340d1a416a01c3c8df8b,2022-05-01,True,,37.0,27.0,,73.0,87.0
5bd58bef4671262d74abf42915c83e84bb9e4240a7d5c49ac2a9e783d2814011,2022-05-01,True,,49.0,,,349.0,
b9b2d5d679084ffa8c295d3bf5a8e4e887457ce0c8963013d2da225b8803caa9,2022-05-01,True,,,,,,
6dc79890edd358ddb717a0a039a62fb5ff68bc2bcd106c333f4c3943412645e1,2022-05-01,True,,,,,,
5e1c1b167ba708cbe438c7c5eed6e423914208017e81de01dcb69014813b6846,2022-05-01,True,,,,,,
6b5baed3a34fdd72cc33efbc4f73f850c70d4d42e49faa10334a97881b9f8cfb,2022-05-01,True,,,,,,
8235239bef2f21d088ebd0d3015b3ac367524fba11e2d4f6673b38d8e966abd8,2022-05-01,True,,,,9.0,261.0,7.0
749e303812df0a5414618c236303867ec87b0ebb314d75e940902866208bfbfa,2022-05-01,True,,,,,,
2c8929647035b14ebb6bfc25863cc9e90f3b2d1d310b64b32ca4f90162d3f5cd,2022-05-01,True,,65.0,13.0,,365.0,21.0
935ed0399adb2e89061ab75a65f7704752de3bcfcc08095bbf179240bc0ef0fe,2022-05-01,True,7.0,65.0,7.0,7.0,363.0,9.0
aacd05750f823555f31490d4983d96bc449276d3bd71a2d986d6737f8e1a9fff,2022-05-01,True,,33.0,55.0,7.0,235.0,281.0
045c63a5f51d11a036903490351e3b96f0d22ce8fd820fa79ca0b108f0c8f116,2022-05-01,True,,,,,,
4318df9c12ac270ed519aa5817bd72bec551fae3cf94cb12a055d453f12c4dac,2022-05-01,True,,63.0,13.0,,229.0,147.0
4724b8a71536a589ceae53c0b5db90ecaf030bf67f401539a7635aba8aae0c06,2022-05-01,True,,,,,,
f5d63548454bfdd0b9d9276c92e794e8097f07f00b42bba28dd6b88b844e9e35,2022-05-01,True,,,,,,
0d94fdc5c73c1146d03ca36d0940c16969108896b3e8fe6f991446277a3ffa41,2022-05-01,True,,57.0,37.0,,197.0,235.0
9a9928912d78daf86ae9fe36290eb98be10993ed240d0e864d3d106cfd0202af,2022-05-01,True,,,,,,
6551184595cfd083204f7c073f986288854f38702a9827d4f6c3a68b81cc55fc,2022-05-01,True,,51.0,47.0,,81.0,119.0
10d164959e6cec945284502665ca01341a4e0ef82779a3839f23b8fdc134e10f,2022-05-01,True,,,51.0,7.0,223.0,311.0
39f3cf102fc8bf5793706a997e9e28257b17934bad2b742131035916fe2e953d,2022-05-01,True,,65.0,,,363.0,7.0
dc060d72454692de21e8d4f55b3666f5c2850e2ca7ba271bc8e4c68fc6a98a9f,2022-05-01,True,,,,,,
287a821fc6982661b50aeadd09fbbaf70d0b3cacee23192024687d9a295fc09e,2022-05-01,True,,65.0,,9.0,359.0,7.0
c1866edd28f974d331d9bc2ad244d68c40b5c5cf8ef50cd114e7225d719178ad,2022-05-01,True,,,,,,
484d934e7f26324cf65bc2d46d0229bf840a76c65a435c18466f8590919cf253,2022-05-01,True,,65.0,,,363.0,7.0
a18e6080dc8e9c68b3c6008b5fd8caaf9e14cd38de61be1d9b98d73a6809a374,2022-05-01,True,,51.0,39.0,27.0,329.0,267.0
4ffb6ba3df820999f9baf4e8fc98e52240f6c7d01c77f688e58602a980f410eb,2022-05-01,True,,61.0,39.0,,129.0,121.0
d139de265e035da010988f1c40e5a2773be73790846470e35ea25c65aa3f2baa,2022-05-01,True,,,,13.0,49.0,19.0
18c20c14ebf231c96c93c63dd9bf8e47630d1bb8b5f5d3398d3d41bed1068bc8,2022-05-01,True,,65.0,,,365.0,
c62bd4d90071d001d4759dbb07abc8c32e10dc6228edd3cdbd55f003e76cfcac,2022-05-01,True,,57.0,33.0,7.0,341.0,75.0
f29c5bb8c554b423b379eb11570baa36cdd9ad086de59ff40c3e2bb2087d1b68,2022-05-01,True,,,,,,
1eecfb51c51b1e4c6d4654e405759466d27a0ee8d01236e1c1c2498885f574f4,2022-05-01,True,,,,,,
5db7655eee1ef6ff8eb7b536c353402ac70cedb22ad64c2fcf0cb181e012599a,2022-05-01,True,,,,,,
1541f163179eaae4cbe1eb6ecbd99dd3b5cb0348d67aa7e5089405d5503082fc,2022-05-01,True,,65.0,23.0,7.0,365.0,59.0
b80d0b23a0f82da0eb597c431cc903fc6bc8a003d34daad1ecd0b9d4a020224b,2022-05-01,True,,,,,,
784bee42fc112124f8fc834cca9cf950ef7a096eb288b6b3225ad0a80a690da1,2022-05-01,True,,31.0,57.0,7.0,141.0,269.0
a29d4c5f414feaa80c263004dd0140424ee588508a952cdbce78b2821189e037,2022-05-01,True,,,,,,
47cc91750f0554c228aaba3eb2da128c525f9e6b5e529f76f2070da8d099847b,2022-05-01,True,,,,,,
79bd063184fec43fd3e55f07c20c51af8f28922117329c745aa6825acf7dbaec,2022-05-01,True,,,,,,
7ff0e15554b5d76715ed05de1ba99401546cfbbb908d30fa0376d5485382baa5,2022-05-01,True,,,,,,
df93fb5e4d639d46316243df9303d976ed1208ebe3c805923de7558161d7e65f,2022-05-01,True,,,,,,
f2a38125ca336c5fab1d68c3ae31ee0411b51102f06a67b6fb5005cee5b79a96,2022-05-01,True,,61.0,61.0,7.0,279.0,273.0
27f80e0407282db881b231af73434d40feada698bac4f1e74f37765135f0ac60,2022-05-01,True,,,,,,
